,Unnamed: 0,S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Day,Date-old,Islamic Date Old,coordinates,Islamic Month,Year,Weights
21,21,22,2006-06-02,<ummalqura.hijri_date.HijriDate object at 0x122cf5c50>,Working Day,,10.30 am,bannu,32.9861,70.6042,kpk,Bakkahel Area of FR Bannu,Mobile,High,Open,Army convoy ,Military,None,6.0,7.0,7.0,8,1.0,,1. Combined Military 2. Hospital Peshawar,26.125,79.025,Friday,Friday-June 2-2006,6 Jumaada al-awal 1427 A.H,"(32.9861,70.6042)",5,2006,0
22,22,23,2006-06-26,<ummalqura.hijri_date.HijriDate object at 0x122cf5cf8>,Working Day,,3:30:00 PM,north waziristan,32.9746,70.1456,fata,Aisha Checkpoint-10km East of  Miranshah,Military,High,Open,,Military,None,6.0,7.0,,26,1.0,,,28.61,83.49799999999998,Monday,Monday-June 26-2006,30 Jumaada al-awal 1427 A.H,"(32.9746,70.1456)",6,2006,0
23,23,24,2006-08-06,<ummalqura.hijri_date.HijriDate object at 0x122cf5da0>,Holiday,Weekend,8.00 am,lasbela,25.8377,66.5224,baluchistan,Zehri Street-Main Market Hub,Market,Low,Open,,Civilian,None,,1.0,,0,1.0,,,27.5,81.5,Sunday,Sunday-August 6-2006,12 Rajab 1427 A.H,"(25.8377,66.5224)",7,2006,0
24,24,25,2006-11-08,<ummalqura.hijri_date.HijriDate object at 0x122cf5e48>,Working Day,,8.30am,malakand,34.503,71.9046,kpk,Dargai Military Base-100km north of Peshawar,Military,High,Open,Recruits parade,Military,None,40.0,42.0,20.0,39,1.0,,1. CMH Mardan 2. CMH Peshawar,19.205,66.569,Wednesday,Wednesday-November 8-2006,17 SHawwal 1427 A.H,"(34.503,71.9046)",10,2006,0
25,25,26,2006-11-17,<ummalqura.hijri_date.HijriDate object at 0x122cf5e80>,Working Day,,7.30 am/7:15AM,peshawar,34.0043,71.5448,kpk,Fayaz Khalil Shaheed Chowk,Mobile,High,Open,police van,Police,None,,1.0,,2,1.0,,,17.275,63.095,Friday,Friday-November 17-2006,26 SHawwal 1427 A.H.,"(34.0043,71.5448)",10,2006,0
26,26,27,2006-12-03,<ummalqura.hijri_date.HijriDate object at 0x122cf5ef0>,Holiday,Weekend,,bannu,32.9861,70.6042,kpk,Speen Tangi-kohat bannu road,Police,High,Open,,Police,None,,1.0,,1,1.0,,,4.705,40.469,Sunday,Sunday-December 3-2006,12 Thw al-Qi`dah 1427 A.H.,"(32.9861,70.6042)",11,2006,0
27,27,28,2007-01-22,<ummalqura.hijri_date.HijriDate object at 0x122cf5f60>,Working Day,,10:30:00 AM,north waziristan,32.9746,70.1456,fata,Miltary convoy near Mir ali north Wazirstan ,Mobile,High,Open,Military convoy,Military,None,4.0,5.0,23.0,25,1.0,,,2.325,36.185,Monday,Monday-January 22-2007,3 MuHarram 1428 A.H,"(32.9746,70.1456)",1,2007,0
28,28,29,2007-01-26,<ummalqura.hijri_date.HijriDate object at 0x122cf5358>,Working Day,,2:37:00 PM,islamabad,33.718,73.0718,capital,Islamabad Marriott Hotal ,Hotel,Medium,Closed,Indian High Commission Function,Foreigner,None,1.0,2.0,5.0,7,1.0,,1.poly Clinic Hospital ,16.3,61.34,Friday,Friday-January 26-2007,7 MuHarram 1428 A.H,"(33.718,73.0718)",1,2007,0
29,29,30,2007-01-27,<ummalqura.hijri_date.HijriDate object at 0x122cf5400>,Working Day,,8:40:00 PM,peshawar,34.0043,71.5448,kpk,near Mosque in QissaKhawani Bazaar,Religious,Medium,Closed,Muharram procession about to start,Civilian,shiite,13.0,15.0,30.0,60,1.0,,1.Lady Reading hospital ,15.165,59.297,Saturday,Saturday-January 27-2007,8 MuHarram 1428 A.H,"(34.0043,71.5448)",1,2007,0
30,30,31,2007-01-29,<ummalqura.hijri_date.HijriDate object at 0x122cf5470>,Holiday,Ashura,,d.i khan,31.8238,70.9095,kpk,Checkpost Dera Ismial Khan ,Police,High,Open,Muharram procession,Civilian,shiite,2.0,3.0,,7,1.0,,1.DIK Headquarters  Hospital ,17.745,63.941,Monday,Monday-January 29-2007,10 MuHarram 1428 A.H,"(31.8238,70.9095)",1,2007,0
31,31,32,2007-02-03,<ummalqura.hijri_date.HijriDate object at 0x122cf5518>,Working Day,,6:17:00 AM,lakki marwat,32.6018,70.9148,kpk,Ghazanikhel Market  Laik marwat,Market,Low,Open,,Civilian,None,,1.0,,,1.0,,,17.52,63.536,Saturday,Saturday-February 3-2007,15 MuHarram 1428 A.H.,"(32.6018,70.9148)",1,2007,0
32,32,33,2007-02-03,<ummalqura.hijri_date.HijriDate object at 0x122cf5550>,Working Day,,12:15:00 PM,tank,31.8238,70.9095,kpk,Military Convoy Barakhel area-tank,Mobile,High,Open,Military convoy,Military,None,,2.0,7.0,8,1.0,,1.CMH  Dera,19.935,67.883,Saturday,Saturday-February 3-2007,15 MuHarram 1428 A.H.,"(31.8238,70.9095)",1,2007,0
33,33,34,2007-02-06,<ummalqura.hijri_date.HijriDate object at 0x122cf5588>,Working Day,,8:50:00 PM/9:10 PM,islamabad,33.718,73.0718,capital,Islamabad Airport ,Airport,High,Open,,Civilian,None,,1.0,3.0,10,1.0,,,16.635,61.94300000000001,Tuesday,Tuesday-February 6-2007,18 MuHarram 1428 A.H.,"(33.718,73.0718)",1,2007,0
34,34,35,2007-02-17,<ummalqura.hijri_date.HijriDate object at 0x122cf55f8>,Working Day,,11:05:00 AM,quetta,30.2095,67.0182,baluchistan,Quetta District court senior civil  judge District Court,Government,High,Closed,,Civilian,None,16.0,17.0,30.0,35,1.0,,1.Quttea Civil hospital  2.Bolan medical hospital ,8.72,47.69600000000001,Saturday,Saturday-February 17-2007,29 MuHarram 1428 A.H,"(30.2095,67.0182)",1,2007,0
35,35,36,2007-03-29,<ummalqura.hijri_date.HijriDate object at 0x122cf5630>,Working Day,,11:45 AM,gujrat,32.5737,74.0786,punjab,Army training area guliana  near Kharian Contonment,Military,High,Open,,Military,None,1.0,2.0,6.0,8,1.0,,1.Combined Military  Hospital ,25.595,78.071,Thursday,Thursday-March 29-2007,10 Raby` al-awal 1428 A.H,"(32.5737,74.0786)",3,2007,0
36,36,37,2007-04-28,<ummalqura.hijri_date.HijriDate object at 0x122cf56a0>,Working Day,,6:55 PM,charsadda,34.1509,71.7359,kpk,Federal Interior Minister Speech  rallyy hometown Charsadda,Park/Ground,Low,Open,Rally Charsadda ,Government Official,None,25.0,35.0,29.0,60,1.0,,1.District Headquarters Hospital  2.Lady Reading Hospital ,28.055,82.499,Saturday,Saturday-April 28-2007,11 Raby` al-THaany 1428 A.H.,"(34.1509,71.7359)",4,2007,0
37,37,38,2007-05-15,<ummalqura.hijri_date.HijriDate object at 0x122cf5710>,Working Day,,12:55:00 PM,peshawar,34.0043,71.5448,kpk,Peshawar Hotel ,Hotel,Medium,Closed,,Foreigner,Sunni,22.0,26.0,12.0,35,1.0,,1.Lady Reading Hospital ,31.1,87.98,Tuesday,Tuesday-May 15-2007,28 Raby` al-THaany 1428 A.H,"(34.0043,71.5448)",4,2007,0
38,38,39,2007-05-28,<ummalqura.hijri_date.HijriDate object at 0x122cf57b8>,Working Day,,About 12pm,tank,32.226,70.3761,kpk,Boltonabad aera,Mobile,High,Open,rammed the vehicle into FC vehicle,Military,None,,3.0,,2,1.0,,,24.935,76.883,Monday,Monday-May 28-2007,11 Jumaada al-awal 1428 A.H,"(32.226,70.3761)",5,2007,0
39,39,40,2007-07-04,<ummalqura.hijri_date.HijriDate object at 0x122cf5860>,Working Day,,10:25am,north waziristan,32.9746,70.1456,fata,Miltary convoy in bannu Gurbaz area,Mobile,High,Open,Military convoy,Military,None,8.0,10.0,9.0,12,1.0,,1.CMH Peshawar,26.975,80.555,Wednesday,Wednesday-July 4-2007,19 Jumaada al-THaany 1428 A.H,"(32.9746,70.1456)",6,2007,0
40,40,41,2007-07-12,<ummalqura.hijri_date.HijriDate object at 0x122cf58d0>,Working Day,,,swat,35.2227,72.4258,kpk,Security Force convoy in mingora,Mobile,High,Open,Military convoy,Military,None,6.0,7.0,4.0,8,1.0,,1.Agency Headquarters  hospital ,31.74,89.132,Thursday,Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,"(35.2227,72.4258)",6,2007,0
41,41,42,2007-07-12,<ummalqura.hijri_date.HijriDate object at 0x122cf5940>,Working Day,,4:30:00 PM,north waziristan,32.9746,70.1456,fata,Political Agent Office in Miranshah,Government,High,Closed,,Government official,None,2.0,4.0,,3,1.0,,,31.39,88.50200000000002,Thursday,Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,"(32.9746,70.1456)",6,2007,0
42,42,43,2007-07-14,<ummalqura.hijri_date.HijriDate object at 0x122cf59b0>,Working Day,,2:00:00 PM,north waziristan,32.9746,70.1456,fata,Razmak town’s Daznaray area-20kms to the north of Miramshah,Mobile,High,Open,Frontier Constabulary convoy,Military,None,23.0,24.0,26.0,29,1.0,,1.CMH Bannu hospital,26.02,78.836,Saturday,Saturday-July 14-2007,29 Jumaada al-THaany 1428 A.H,"(32.9746,70.1456)",6,2007,0
43,43,44,2007-07-15,<ummalqura.hijri_date.HijriDate object at 0x122cf5208>,Holiday,Weekend,3:30 PM-4:00:00 PM/4:15PM,d.i khan,31.8238,70.9095,kpk,police recruitment center,Police,High,Closed,recruitment process in progress,Police,None,25.0,30.0,50.0,61,1.0,,1.District Headquarters  Hospital ,28.82,83.876,Sunday,Sunday-July 15-2007,1 Rajab 1428 A.H,"(31.8238,70.9095)",7,2007,0
44,44,45,2007-07-15,<ummalqura.hijri_date.HijriDate object at 0x122cf52e8>,Holiday,Weekend,between 7:00-7:40 AM,swat,35.2227,72.4258,kpk,Matta,Mobile,High,Open,police bus going from Kabal to Matta,Police,None,17.0,20.0,40.0,47,1.0,,,27.255,81.059,Sunday,Sunday-July 15-2007,1 Rajab 1428 A.H,"(35.2227,72.4258)",7,2007,0
45,45,46,2007-07-17,<ummalqura.hijri_date.HijriDate object at 0x11fdb00b8>,Working Day,,8:27:00 AM,islamabad,33.718,73.0718,capital,outside the venue of distric bar convention council Islamabad ,Government,High,Open,Chief Justice Iftikhar muhammad ch had to address overthere,Government official,None,16.0,17.0,50.0,70,1.0,,1.Fedral govt services hospital 2.PIMS,28.875,83.975,Tuesday,Tuesday-July 17-2007,3 Rajab 1428 A.H,"(33.718,73.0718)",7,2007,0
46,46,47,2007-07-17,<ummalqura.hijri_date.HijriDate object at 0x122ca4c88>,Working Day,,1:30:00 PM,north waziristan,32.9746,70.1456,fata,Security check post Miramshah  North Wazirstan ,Military,High,Open,,Military,None,,4.0,2.0,3,1.0,,1.CMH Bannu hospital,26.945,80.501,Tuesday,Tuesday-July 17-2007,3 Rajab 1428 A.H,"(32.9746,70.1456)",7,2007,0
47,47,48,2007-07-19,<ummalqura.hijri_date.HijriDate object at 0x122ca4cf8>,Working Day,,8:40:00 AM,lasbela,25.8377,66.5224,baluchistan,Industrial town hub baluchistan ,Mobile,High,Open,chinese engineers were going from Karachi to Hub,Foreigner,Christian,28.0,30.0,28.0,50,1.0,,,32.395,90.311,Thursday,Thursday-July 19-2007,5 Rajab 1428 A.H,"(25.8377,66.5224)",7,2007,0
48,48,49,2007-07-19,<ummalqura.hijri_date.HijriDate object at 0x122ca4fd0>,Working Day,,7:50:00 AM,hangu,33.5351,71.0713,kpk,Training Center in Hangu,Police,High,Closed,,Police,None,6.0,8.0,30.0,35,1.0,,,30.735,87.323,Thursday,Thursday-July 19-2007,5 Rajab 1428 A.H,"(33.5351,71.0713)",7,2007,0
49,49,50,2007-07-19,<ummalqura.hijri_date.HijriDate object at 0x122ca4b38>,Working Day,,,kohat,33.5833,71.4333,kpk,Kohat Mosque ,Religious,Medium,Closed,,Religious,Sunni,15.0,20.0,8.0,58,1.0,,CMH kohat,30.275,86.495,Thursday,Thursday-July 19-2007,5 Rajab 1428 A.H,"(33.5833,71.4333)",7,2007,0
50,50,51,2007-07-20,<ummalqura.hijri_date.HijriDate object at 0x122ca4e48>,Working Day,,12:30:00 PM/11:00AM,north waziristan,32.9746,70.1456,fata,Security check post Miramshah  North Wazirstan ,Military,High,Open,,Military,None,,4.0,5.0,6,1.0,,,28.375,83.075,Friday,Friday-July 20-2007,6 Rajab 1428 A.H,"(32.9746,70.1456)",7,2007,0
51,51,52,2007-07-27,<ummalqura.hijri_date.HijriDate object at 0x122ca4f28>,Working Day,,5:25 PM,islamabad,33.718,73.0718,capital,near Hotel in Abpara market,Hotel,Medium,Closed,,Police,None,14.0,15.0,50.0,70,1.0,,1.Federal Government  services hospital 2.Capital Development  Authority hospital ,26.39,79.502,Friday,Friday-July 27-2007,13 Rajab 1428 A.H,"(33.718,73.0718)",7,2007,0
52,52,53,2007-08-03,<ummalqura.hijri_date.HijriDate object at 0x122ca40b8>,Working Day,,Night,swat,35.2227,72.4258,kpk,District Swat gora village matta,Mobile,Low,Open,,civilian,None,,2.0,5.0,6,1.0,,,28.01,82.41799999999998,Friday,Friday-August 3-2007,20 Rajab 1428 A.H.,"(35.2227,72.4258)",7,2007,0
53,53,54,2007-08-04,<ummalqura.hijri_date.HijriDate object at 0x122ca4400>,Working Day,,10:30am,kurram agency,32.9746,70.1456,fata,Parachinar,Transport,Low,Open,,civilian,Sunni,9.0,23.0,35.0,43,1.0,,1.Agency Headqurters  Hospital ,25.835,78.503,Saturday,Saturday-August 4-2007,21 Rajab 1428 A.H,"(32.9746,70.1456)",7,2007,0
54,54,55,2007-08-17,<ummalqura.hijri_date.HijriDate object at 0x122ca4208>,Working Day,,,tank,32.226,70.3761,kpk, Military Convoys in Tank district,Mobile,High,Open,,Military,None,,,3.0,5,1.0,,,26.185,79.133,Friday,Friday-August 17-2007,4 SHa`baan 1428 A.H,"(32.226,70.3761)",8,2007,0
55,55,56,2007-08-19,<ummalqura.hijri_date.HijriDate object at 0x122ca4898>,Holiday,Weekend,,north waziristan,32.9746,70.1456,fata,North Wazirstan Mirali Military  checkpost ,Military,High,Open,,Military,None,,2.0,,2,1.0,,,29.01,84.21799999999998,Sunday,Sunday-August 19-2007,6 SHa`baan 1428 A.H,"(32.9746,70.1456)",8,2007,0
56,56,57,2007-08-19,<ummalqura.hijri_date.HijriDate object at 0x122ca42e8>,Holiday,Weekend,,bannu,32.9861,70.6042,kpk,Bannu Police Check post ,Police,High,Open,,Police,None,,1.0,,4,1.0,,,29.965,85.93700000000003,Sunday,Sunday-August 19-2007,6 SHa`baan 1428 A.H,"(32.9861,70.6042)",8,2007,0
57,57,58,2007-08-20,<ummalqura.hijri_date.HijriDate object at 0x122ca4320>,Working Day,,9:00:00 AM,hangu,33.5351,71.0713,kpk,Checkpost on thall-parachinar road/kurram road  mandori village ,Military,High,Open,,Military,None,3.0,7.0,14.0,18,1.0,,1.Nawagai hospital ,27.195,80.95100000000002,Monday,Monday-August 20-2007,7 SHa`baan 1428 A.H,"(33.5351,71.0713)",8,2007,0
58,58,59,2007-08-24,<ummalqura.hijri_date.HijriDate object at 0x122ce8048>,Working Day,,,north waziristan,32.9746,70.1456,fata,miranshah Military convoys ,Mobile,High,Open,military convoy,Military,None,6.0,7.0,22.0,37,2.0,,1.Bannu Hospital ,28.365,83.057,Friday,Friday-August 24-2007,11 SHa`baan 1428 A.H,"(32.9746,70.1456)",8,2007,0
59,59,60,2007-08-26,<ummalqura.hijri_date.HijriDate object at 0x122ce80b8>,Holiday,Weekend,,shangla,34.8015,72.757,kpk,Machaar area of Shangla District ,Police,High,Open,,police,None,,4.0,,2,1.0,,,27.475,81.455,Sunday,Sunday-August 26-2007,13 SHa`baan 1428 A.H,"(34.8015,72.757)",8,2007,0
60,60,61,2007-09-01,<ummalqura.hijri_date.HijriDate object at 0x122ce8160>,Working Day,,10:00:00 AM,bajaur agency,34.8718,71.5249,fata,Truck carrying security personeel was attacked in Mamond area,Mobile,High,Open,truck carrying security personnel,Military,None,3.0,7.0,4.0,9,1.0,,1.Agency Headquarters  hospital ,28.84,83.912,Saturday,Saturday-September 1-2007,19 SHa`baan 1428 A.H,"(34.8718,71.5249)",8,2007,0
61,61,62,2007-09-01,<ummalqura.hijri_date.HijriDate object at 0x122ce8198>,Working Day,,,south waziristan,32.3202,69.8597,fata,check-post of the troops in the Jandola area of South Waziristan.,Military,High,Closed,,Military,None,,0.0,,,1.0,,,29.58,85.244,Saturday,Saturday-September 1-2007,19 SHa`baan 1428 A.H,"(32.3202,69.8597)",8,2007,0
62,62,63,2007-09-04,<ummalqura.hijri_date.HijriDate object at 0x122ce81d0>,Working Day,,7:15:00 AM,rawalpindi,33.6058,73.0437,punjab,1.Qasim Market Defence Ministry Bus,Mobile,High,Open,,Military,None,18.0,25.0,,,2.0,,1.District Headquarters Rwp 2.Rwp General Hospital,27.15,80.87,Tuesday,Tuesday-September 4-2007,22 SHa`baan 1428 A.H,"(33.6058,73.0437)",8,2007,0
63,63,64,2007-09-04,<ummalqura.hijri_date.HijriDate object at 0x122ce8240>,Working Day,,7:15:00 AM,rawalpindi,33.6058,73.0437,punjab,Near R.A Bazar behind general Headquarters ,Market,Low,Open,,Military,None,,7.0,,,1.0,,1.District Headquarters Rwp 2.Rwp General Hospital,27.15,80.87,Tuesday,Tuesday-September 4-2007,22 SHa`baan 1428 A.H,"(33.6058,73.0437)",8,2007,0
64,64,65,2007-09-11,<ummalqura.hijri_date.HijriDate object at 0x122ce82b0>,Working Day,,,d.i khan,31.8238,70.9095,kpk,Passanger van at Bannu adda/chungi,Mobile,Low,Open,,Civilian,None,17.0,19.0,16.0,19,1.0,,DI Khan Headquarter  hospital ,30.815,87.46700000000001,Tuesday,Tuesday-September 11-2007,29 SHa`baan 1428 A.H,"(31.8238,70.9095)",8,2007,0
